TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher,Process Notes,original_cache_file,moved_timestamp,_status,_reason,NeedsReview
171827.0,39,Unknown,Unknown,3546207.0,,1144,S Eucalyptus Ave,Inglewood,90301.0,CA,,,House,DoNotCall,0.0,,,,,,,33.948222,-118.3589858,,,,,,ok,empty_or_invalid_json,True
994894.0,40,Unknown,Unknown,6770015.0,,905,S Eucalyptus Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.952476,-118.359286,,,,,,auto_fixed,empty_or_invalid_json,True
994894.0,40,Unknown,Unknown,3856306.0,,304,W Arbor Vitae St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.952476,-118.359429,,,,,,auto_fixed,empty_or_invalid_json,True
994894.0,40,Unknown,Unknown,1741883.0,,308,W Arbor Vitae St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9524761,-118.3595775,,,,,,auto_fixed,empty_or_invalid_json,True
994894.0,40,Unknown,Unknown,2486584.0,,312,W Arbor Vitae St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.952476,-118.359726,,,,,,auto_fixed,empty_or_invalid_json,True
604395.0,41,Unknown,Unknown,2365623.0,,938,S Inglewood Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.951498,-118.361234,,,,,,ok,empty_or_invalid_json,True
604395.0,41,Unknown,Unknown,5466648.0,,938,S Inglewood Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.951088,-118.360946,,,,,,auto_fixed,empty_or_invalid_json,True
604395.0,41,Unknown,Unknown,5053035.0,,350,W Arbor Vitae St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.95335,-118.3301634,,,,,,ok,empty_or_invalid_json,True
604395.0,41,Unknown,Unknown,5866387.0,,345,W Hardy St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9491517,-118.3605383,,,,,,ok,empty_or_invalid_json,True
681761.0,42,Unknown,Unknown,7932442.0,,1091,S Inglewood Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9492002,-118.361231,,,,,,ok,empty_or_invalid_json,True
681761.0,42,Unknown,Unknown,9699839.0,,919,S Inglewood Ave,Inglewood,90301.0,CA,,,House,Home,0.0,2024/10/02,,,,,,33.9622501,-118.3617352,,a and b A was home B was not,,,,ok,empty_or_invalid_json,True
681761.0,42,Unknown,Unknown,8037301.0,,933,S Inglewood Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9622501,-118.3617352,,,,,,ok,empty_or_invalid_json,True
