TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher,Process Notes,original_cache_file,moved_timestamp
994894.0,40,,,1741883.0,,308,W  Arbor Vitae Street,Inglewood,90301,California,,,House,Available,0.0,,,,,,,33.9524761,-118.3595775,,,,,
994894.0,40,,,2486584.0,,312,W  Arbor Vitae Street,Inglewood,90301,California,,,House,Available,0.0,,,,,,,33.952476,-118.359726,,,,,
604395.0,41,,,5587694.0,,1016 1/2,S Inglewood Ave,Inglewood,90301,CA,,,House,Custom1,0.0,2024/12/23,,,,,,33.9622501,-118.3617352,,,,,
604395.0,41,,,8909917.0,,1018 1/2,S Inglewood Ave,Inglewood,90301,CA,,,House,NotHome,1.0,2024/12/23,,,,,,33.9622501,-118.3617352,,,,,
604395.0,41,,,1752572.0,,1020 1/2,S Inglewood Ave,Inglewood,90301,CA,,,House,NotHome,1.0,2024/12/23,,,,,,33.9524563,-118.361403,,locked,,,
604395.0,41,,,4359827.0,,1024 1/2,S Inglewood Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9622501,-118.3617352,,,,,
604395.0,41,,,2365623.0,,938,S Inglewood Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.951498,-118.361234,,,,,
604395.0,41,,,5466648.0,,938,S Inglewood Avenue,Inglewood,90301,California,,,House,Available,0.0,,,,,,,33.951088,-118.360946,,,,,
604395.0,41,,,5053035.0,,350,W Arbor Vitae St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.95335,-118.3301634,,,,,
604395.0,41,,,5866387.0,,345,W Hardy St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9491517,-118.3605383,,,,,
681761.0,42,,,7932442.0,,1091,S Inglewood Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9492002,-118.361231,,,,,
681761.0,42,,,9699839.0,,919,S Inglewood Ave,Inglewood,90301,CA,,,House,Home,0.0,2024/10/02,,,,,,33.9622501,-118.3617352,,a and b A was home B was not,,,
681761.0,42,,,8037301.0,,933,S Inglewood Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9622501,-118.3617352,,,,,
681761.0,42,,,1666876.0,,6100,W 94th St,Los Angeles,90045,CA,,,House,Available,0.0,,,,,,,33.9542965,-118.4136122,,address not in this territory,,,
114595.0,43,,,5743149.0,Unit,9530 1/2,Felton Ave,Inglewood,90301,CA,,,Apartment,Available,0.0,,,,,,,33.9498442,-118.365528,,,,,
114595.0,43,,,9056651.0,,9507,S Inglewood Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9499956,-118.3614252,,,,,
114595.0,43,,,6401117.0,,4853 1/2,W 98th St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.94728,-118.354924,,,,,
114595.0,43,,,7300845.0,Unit,4901 1/2,W 98th St,Inglewood,90301,CA,,,Apartment,Available,0.0,,,,,,,33.947388,-118.36376,,,,,
114595.0,43,,,5500882.0,,4913,W 98th St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9473874,-118.3640717,,,,,
366434.0,44,,,5388963.0,,4936 1/2,W 98th St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.947259,-118.361342,,,,,
366434.0,44,,,3234444.0,,4861,W 99th St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9463912,-118.3643114,,,,,
366434.0,44,,,2735525.0,Unit,4903 1/2,W 99th St,Inglewood,90301,CA,,,Apartment,Custom1,0.0,2025/01/15,,,,,,33.9463912,-118.3643114,,No Trespassing,,,
366434.0,44,,,9664641.0,,4913 1/2,W 99th St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9463912,-118.3643114,,,,,
366434.0,44,,,5659984.0,,4969,W 99th St,Inglewood,90301,CA,,,House,NotHome,1.0,2025/01/15,,,,,,33.9463912,-118.3643114,,,,,
660550.0,45,,,4320348.0,Unit,4922 1/4,W 99th St,Inglewood,90301,CA,,,Apartment,Custom1,0.0,2025/02/15,,,,,,33.9462968,-118.3635262,,,,,
660550.0,45,,,8896878.0,Unit,4940 1/2,W 99th St,Inglewood,90304,CA,,,Apartment,NotHome,1.0,2025/02/15,,,,,,33.9462934,-118.3638296,,,,,
660550.0,45,,,4179703.0,,4823,W Century Blvd,Inglewood,90304,CA,,,House,Available,0.0,,,,,,,33.9455151,-118.3620962,,,,,
821256.0,47,,,7210469.0,,520,Kenwood St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9522519,-118.3667859,,,,,
821256.0,47,,,1340313.0,,905 1/2,Kenwood St,Inglewood,90301,CA,,,House,NotHome,2.0,,2025/06/02,,,,,33.9522519,-118.3667859,,,,,
821256.0,47,,,6441151.0,,612 1/2,W Arbor Vitae St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.95335,-118.3301634,,,,,
841750.0,48,,,8573922.0,,9610 1/2,Ocean Gate Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9477257,-118.3677828,,locked gate with dog,,,
841750.0,48,,,8637205.0,,9724 1/2,Ocean Gate Ave,Inglewood,90301,CA,,,House,NotHome,1.0,2025/05/05,,,,,,33.95023,-118.367749,,,,,
841750.0,48,,,7306458.0,,9521 1/2,Redfern Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.950236,-118.366659,,,,,
841750.0,48,,,1544966.0,,9528 1/2,Redfern Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.950236,-118.366659,,,,,
841750.0,48,,,3472281.0,,9715 1/2,Redfern Ave,Inglewood,90301,CA,,,House,NotHome,1.0,2025/04/21,,,,,,33.950236,-118.366659,,,,,
841750.0,48,,,8119166.0,,9549,S Felton Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9496803,-118.3657218,,,,,
465156.0,49,,,3052239.0,,756,Grace Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9683845,-118.3452494,,,,,
465156.0,49,,,3258576.0,,202,N Locust St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9646392,-118.3502976,,,,,
465156.0,49,,,2495103.0,,448,N Osage Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9700446,-118.3449683,,,,,
465156.0,49,,,9624020.0,,335,S Prairie Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9597933,-118.343971,,,,,
465156.0,49,,,7140842.0,,732,Sienna Wy,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.956526,-118.358654,,,,,
465156.0,49,,,6427097.0,,736,Sienna Wy,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.956526,-118.358654,,,,,
465156.0,49,,,7117693.0,,771,Sienna Wy,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.956526,-118.358654,,,,,
520602.0,50,,,3325969.0,,318,E Regent St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9643882,-118.3515951,,,,,
